gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1.3_RNAseq_rep1	E12.5_DFL_DelCBS1.3_RNAseq_rep2	E12.5_DFL_DelCBS1.3_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000043822	Adamtsl5	13.4469738824679	21.734386406625	9.55310974114055	22.7461261247282	26.2821623748369	13.2708210937088	17.8389299372512	-0.480645575202829	0.567019545168164	-0.847670206959589	0.396621662976438	0.994502881406078
ENSMUSG00000046179	E2f8	803.936938544689	826.894610106595	833.725941044994	785.775266126973	795.321087516804	758.47846712505	800.688718410851	0.0754637803080473	0.0901115746763532	0.837448247676114	0.402340655374652	0.994502881406078
ENSMUSG00000046408	1700067K01Rik	11.5259776135439	12.8430465130057	10.4215742630624	11.3730630623641	7.99891898364602	3.06249717547126	9.53751293518223	0.633881682075027	0.752161892293118	0.842746340342383	0.399370324200575	0.994502881406078
ENSMUSG00000047246	H2bc6	6.72348694123396	5.92755992907953	6.07925165345308	11.3730630623641	6.85621627169659	11.2291563100613	8.03145569464809	-0.657505372418913	0.78025567638126	-0.8426793835943	0.39940778042953	0.994502881406078
ENSMUSG00000047473	Zfp30	338.095343330622	360.593229019005	316.12108597956	306.038787859979	333.669191889234	298.083058412536	325.433449415156	0.113897919517575	0.13500509470821	0.843656454326748	0.398861407582295	0.994502881406078
ENSMUSG00000050088	1600012H06Rik	376.515268709102	352.689815780232	333.490376417998	321.547510217748	327.955678329487	334.833024518191	341.171945662126	0.109855509287981	0.129826778562919	0.84616987730879	0.397457983526012	0.994502881406078
ENSMUSG00000052566	Hook2	322.72737317923	325.027869444528	386.466712255232	324.649254689302	331.383786465335	299.10389080436	331.559814472998	0.116644612396283	0.138425706119954	0.842651380771744	0.399423446096254	0.994502881406078
ENSMUSG00000053617	Sh3pxd2a	4721.80882901516	4944.57290750718	4426.56366823576	4431.35893502659	4907.90814782281	4167.03782342457	4599.87505183868	0.0614570797623462	0.0729476901337165	0.842481504893337	0.39951848797136	0.994502881406078
ENSMUSG00000054455	Vapb	1416.73474833144	1352.47159048498	1397.35941577229	1428.87028656247	1444.37622790408	1478.1653033608	1419.66292873601	-0.0625708654389312	0.074067257909066	-0.844784418990519	0.398231215500652	0.994502881406078
ENSMUSG00000055799	Tcf7l1	2190.89624470781	2371.02397163181	2241.50693108034	2422.46243228355	2416.81623577305	2245.83126201226	2314.75617958147	-0.0584854749466676	0.069498364084002	-0.841537433542707	0.4000469232894	0.994502881406078
ENSMUSG00000057236	Rbbp4	10189.9247085073	10135.1395520712	10583.9771286618	10229.5532671846	10693.4119784228	10964.7607205789	10466.1278925711	-0.0448999044320541	0.0535133831868797	-0.8390406615716	0.401446492405837	0.994502881406078
