gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1_RNAseq_rep1	E12.5_DFL_DelCBS1_RNAseq_rep2	E12.5_DFL_DelCBS1_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000032867	Fbxw8	2942.75917074916	2665.50658522967	2961.51982520958	2960.40321847392	2926.30255999325	2894.02106748671	2891.75207119038	-0.034657227046512	0.0642172623066882	-0.539687084151864	0.589412848695835	0.999970709381425
ENSMUSG00000032869	Psmf1	949.992850872416	831.480467271177	916.422314414285	922.018712318594	889.309541214879	909.956132367133	903.196669743081	-0.0118324086830092	0.0883473051836608	-0.133930612353273	0.893457443194775	0.999970709381425
ENSMUSG00000032870	Smap2	785.609799182178	720.547287722528	764.292566395214	753.659903329047	757.703341426823	700.258212395145	747.011851741823	0.0385848018108788	0.0928278889834483	0.415659584995611	0.67765911878178	0.999970709381425
ENSMUSG00000032872	Cyb5r4	430.623086329641	409.519681511365	439.992025707853	451.969957018919	410.301681692175	401.367511982583	423.962324040422	0.0206635424842777	0.116321923284256	0.177640997508115	0.859004925220504	0.999970709381425
ENSMUSG00000032875	Arhgef17	3888.7180817028	4115.93198886106	4226.83850783527	4006.71366897271	4231.7199387733	4343.87817932923	4135.63339424573	-0.0409905116980696	0.0605232278170376	-0.677269094470381	0.498235235942319	0.999970709381425
ENSMUSG00000032878	Ccdc85a	27.2290944517571	24.8822084968931	26.4177406739704	11.299248925473	34.8369352380148	20.8749060605599	24.2566889744447	0.219674396994816	0.488637125387765	0.449565506960795	0.653023764107056	0.999970709381425
ENSMUSG00000032890	Rims3	54.4581889035143	45.6173822443039	35.5273064236154	50.8466201646284	41.6107837565177	46.4941089530652	45.7590650742741	-0.0360328895084818	0.333996870571668	-0.107883913543286	0.914087777770467	0.999970709381425
ENSMUSG00000032892	Rangrf	35.2969742893148	27.9924845590047	34.6163498486509	21.4685729583986	34.8369352380148	43.6475308538979	32.976474624547	-0.0362215209936258	0.404665362161193	-0.0895098132446469	0.928676755048521	0.999970709381425
ENSMUSG00000032897	Nfyc	593.997653040183	533.93072399583	640.402472200042	587.560944124594	609.64636666526	660.406119006803	604.324046505452	-0.0708592276003197	0.107975028013554	-0.656255700081176	0.51165961576454	0.999970709381425
ENSMUSG00000032898	Fbxo21	2061.34329849598	2316.1189075858	2006.83733464679	2280.18843316045	1971.18991888434	1921.4402169379	2092.85301828521	0.0490993167669436	0.0837983351626996	0.585922341674382	0.557927702820481	0.999970709381425
ENSMUSG00000032899	Styk1	39.3309142080936	50.8011756811567	39.1711327234734	35.0276716689662	35.8046278835152	33.210077823618	38.8909333314705	0.312141821845163	0.352559590611273	0.885359043286745	0.3759630147041	0.999970709381425
ENSMUSG00000032902	Slc16a1	1092.18923300937	1102.07448467489	1163.29154622966	1222.57873373618	1076.07422179646	1163.30158319302	1136.5849671066	-0.0430101427138645	0.0828057481243561	-0.519410109661381	0.603474782867125	0.999970709381425
ENSMUSG00000032905	Atg12	969.154065486615	953.817992380901	922.799010439036	952.526684417371	948.338792590404	927.035600962136	945.612024379411	0.00899935544571932	0.0818636999666047	0.109930963899634	0.912464125716712	0.999970709381425
ENSMUSG00000032908	Sgpp2	48.407279025346	48.7276583064156	50.1026116230474	40.6772961317027	42.5784764020181	60.7269994489015	48.5367201562385	0.0286871737807364	0.323964635988733	0.0885503249241502	0.929439287887894	0.999970709381425
ENSMUSG00000032911	Cspg4	524.412189441249	819.03936302273	414.485241608847	578.521544984216	454.815543385194	592.088244626789	563.893687844837	0.112718451926115	0.312928135283009	0.360205552703574	0.718693422580739	0.999970709381425
ENSMUSG00000032913	Lrig2	881.415872253176	1010.83972018628	809.840395143439	966.085783127939	851.569528040363	895.723241871297	902.579090103749	-0.0061787384528193	0.100951078506703	-0.0612052743191747	0.95119572931091	0.999970709381425
ENSMUSG00000032936	Camkv	322.715193502307	292.365949838494	317.92384466261	273.441823996446	355.143200898651	366.259715426187	321.308288054116	-0.0950687738837209	0.145214145197228	-0.654679843720458	0.512673905332056	0.999970709381425
ENSMUSG00000032939	Nup93	2374.98212718104	2389.7287743891	2504.2196245774	2455.32679150528	2470.51932396255	2318.06343208854	2418.80667895065	0.00545971973696696	0.0637702557184246	0.0856154593620287	0.931772108790952	0.999970709381425
ENSMUSG00000032940	Rbm11	3.02545493908413	6.22055212422327	10.0205223246095	10.1693240329257	7.7415411640033	18.0283279613926	9.20095375770641	-0.893845774830327	0.771272935895605	-1.15892277977107	0.24648766258788	0.999970709381425
ENSMUSG00000032946	Rasgrp2	75.6363734771032	65.3157973043443	87.4518311965918	66.6655686602905	69.6738704760297	89.192780440574	75.6560369258222	0.0178732670045538	0.265830332551301	0.0672356191748908	0.946394129268143	0.999970709381425
ENSMUSG00000032952	Ap4b1	462.894605679871	587.842175739099	429.060546808279	489.25747847298	488.684785977708	525.668088979553	497.234613609582	-0.0248909274417962	0.129008644379588	-0.192939996862214	0.847005960531651	0.999970709381425
ENSMUSG00000032965	Ift57	304.562463867802	244.675050219448	458.211157207142	303.949796095223	291.275486295624	394.725496417859	332.899908350517	0.0266482106811638	0.196705980796353	0.13547229511416	0.892238467598256	0.999970709381425
ENSMUSG00000032966	Fkbp1a	2817.70703326702	2636.47734198329	2811.21199034044	2854.19027857447	2743.40864999367	2624.54500743221	2747.92338359852	0.00820092887401179	0.0640830347856268	0.127973478494673	0.898169961533015	0.999970709381425
ENSMUSG00000032968	Inha	185.561236263826	245.711808906819	179.458445268006	197.736856195777	206.118533491588	220.135373002268	205.787042188047	-0.0338349188653474	0.173931239682632	-0.194530430111837	0.845760571018943	0.999970709381425
